name,state,latitude,longitude,population,timezone,search_name
Kūrāli,Punjab,30.83424,76.57677,31060,Asia/Kolkata,kūrāli punjab
Jagdīshpur,Uttar Pradesh,26.74967,80.5451,31029,Asia/Kolkata,jagdīshpur uttar pradesh
Ponneri,Tamil Nadu,13.33868,80.19487,31025,Asia/Kolkata,ponneri tamil nadu
Shamsābād,Uttar Pradesh,27.01718,78.12358,31009,Asia/Kolkata,shamsābād uttar pradesh
Malakanagiri,Odisha,18.36428,81.888,31007,Asia/Kolkata,malakanagiri odisha
Deolali,Maharashtra,19.47393,74.62063,30997,Asia/Kolkata,deolali maharashtra
Mangrūl Pīr,Maharashtra,20.31379,77.34178,30983,Asia/Kolkata,mangrūl pīr maharashtra
Narsampet,Telangana,17.92786,79.89227,30963,Asia/Kolkata,narsampet telangana
Berasia,Madhya Pradesh,23.63134,77.43351,30951,Asia/Kolkata,berasia madhya pradesh
Bādāmi,Karnataka,15.91495,75.67683,30943,Asia/Kolkata,bādāmi karnataka
Pasān,Unknown,22.84412,82.19823,30928,Asia/Kolkata,pasān unknown
Pāmban,Tamil Nadu,9.27904,79.21086,30926,Asia/Kolkata,pāmban tamil nadu
Banda,Madhya Pradesh,24.04488,78.96094,30923,Asia/Kolkata,banda madhya pradesh
Kondagaon,Unknown,19.59083,81.664,30921,Asia/Kolkata,kondagaon unknown
Kalakkādu,Tamil Nadu,8.5138,77.54944,30921,Asia/Kolkata,kalakkādu tamil nadu
Puthuppariyāram,Kerala,10.81314,76.62869,30895,Asia/Kolkata,puthuppariyāram kerala
Vilāngudi,Tamil Nadu,9.94578,78.09352,30884,Asia/Kolkata,vilāngudi tamil nadu
Rūdarpur,Uttar Pradesh,26.44467,83.61302,30873,Asia/Kolkata,rūdarpur uttar pradesh
Sholinghur,Tamil Nadu,13.1181,79.42025,30856,Asia/Kolkata,sholinghur tamil nadu
Mānāvadar,Goa,21.49813,70.13775,30850,Asia/Kolkata,mānāvadar goa
Purāini,Bihar,25.14257,86.97967,30829,Asia/Kolkata,purāini bihar
Deūlgaon Rāja,Maharashtra,20.01757,76.03755,30827,Asia/Kolkata,deūlgaon rāja maharashtra
Dharmadam,Kerala,11.77538,75.46459,30804,Asia/Kolkata,dharmadam kerala
Madurāntakam,Tamil Nadu,12.51167,79.88485,30796,Asia/Kolkata,madurāntakam tamil nadu
Kizhuvalam-Koonthalloor,Kerala,8.66251,76.80966,30770,Asia/Kolkata,kizhuvalam-koonthalloor kerala
Dharamsala,Haryana,32.22006,76.32013,30764,Asia/Kolkata,dharamsala haryana
Pedana,Andhra Pradesh,16.25582,81.14378,30721,Asia/Kolkata,pedana andhra pradesh
Kaij,Maharashtra,18.71364,76.06718,30704,Asia/Kolkata,kaij maharashtra
Kallamchavadi,Tamil Nadu,12.95306,80.13083,30702,Asia/Kolkata,kallamchavadi tamil nadu
Un,Goa,23.88745,71.76975,30671,Asia/Kolkata,un goa
Vadanappally,Kerala,10.46905,76.08129,30657,Asia/Kolkata,vadanappally kerala
Irimbiliyam,Kerala,10.86242,76.09218,30635,Asia/Kolkata,irimbiliyam kerala
Mūdbidri,Karnataka,13.06653,74.99525,30632,Asia/Kolkata,mūdbidri karnataka
Pallappatti,Tamil Nadu,10.72057,77.87951,30624,Asia/Kolkata,pallappatti tamil nadu
Cheranellūr,Kerala,10.05428,76.2896,30594,Asia/Kolkata,cheranellūr kerala
Mahārāganj,Uttar Pradesh,27.14456,83.56214,30548,Asia/Kolkata,mahārāganj uttar pradesh
Nāgāvaram,Telangana,17.48862,78.60208,30502,Asia/Kolkata,nāgāvaram telangana
Tarakeswar,West Bengal,22.88605,88.01363,30475,Asia/Kolkata,tarakeswar west bengal
Tifrā,Unknown,22.06312,82.13129,30465,Asia/Kolkata,tifrā unknown
Siraspur,Delhi,28.75815,77.13087,30445,Asia/Kolkata,siraspur delhi
Kundapura,Karnataka,13.63126,74.6902,30444,Asia/Kolkata,kundapura karnataka
Uran,Maharashtra,18.87813,72.93924,30439,Asia/Kolkata,uran maharashtra
Kasba,Bihar,25.85643,87.53836,30421,Asia/Kolkata,kasba bihar
Karjan,Goa,22.04671,73.11814,30405,Asia/Kolkata,karjan goa
Muvattupuzha,Kerala,9.97985,76.57381,30397,Asia/Kolkata,muvattupuzha kerala
Manāwar,Madhya Pradesh,22.23566,75.08917,30393,Asia/Kolkata,manāwar madhya pradesh
Pihānī,Uttar Pradesh,27.61987,80.20343,30369,Asia/Kolkata,pihānī uttar pradesh
Madukkarai,Tamil Nadu,10.90568,76.96344,30357,Asia/Kolkata,madukkarai tamil nadu
Amlai,Madhya Pradesh,23.19838,81.58064,30354,Asia/Kolkata,amlai madhya pradesh
Mānsa,Goa,23.42564,72.65739,30347,Asia/Kolkata,mānsa goa
Dhāruhera,Gujarat,28.20553,76.79691,30344,Asia/Kolkata,dhāruhera gujarat
Sarkhej,Goa,22.98297,72.50196,30341,Asia/Kolkata,sarkhej goa
Banmankhi Bazar,Bihar,25.88761,87.19356,30336,Asia/Kolkata,banmankhi bazar bihar
Rehli,Madhya Pradesh,23.63722,79.06275,30329,Asia/Kolkata,rehli madhya pradesh
Tāramangalam,Tamil Nadu,11.69403,77.97035,30222,Asia/Kolkata,tāramangalam tamil nadu
Amla,Madhya Pradesh,21.92485,78.12786,30215,Asia/Kolkata,amla madhya pradesh
Tirukkoyilur,Tamil Nadu,11.9662,79.20259,30212,Asia/Kolkata,tirukkoyilur tamil nadu
Musiri,Tamil Nadu,10.95299,78.44427,30209,Asia/Kolkata,musiri tamil nadu
Hīrākud,Odisha,21.52502,83.87275,30207,Asia/Kolkata,hīrākud odisha
Khair,Uttar Pradesh,27.94195,77.84243,30173,Asia/Kolkata,khair uttar pradesh
Rajauli,Bihar,24.64486,85.50028,30170,Asia/Kolkata,rajauli bihar
Kakkalapalle,Andhra Pradesh,14.64152,77.56684,30128,Asia/Kolkata,kakkalapalle andhra pradesh
Cherukavu,Kerala,11.17307,75.90858,30126,Asia/Kolkata,cherukavu kerala
Seoni Mālwa,Madhya Pradesh,22.45046,77.4665,30100,Asia/Kolkata,seoni mālwa madhya pradesh
Oddanchathiram,Tamil Nadu,10.48013,77.74977,30064,Asia/Kolkata,oddanchathiram tamil nadu
Fatehpur Sīkri,Uttar Pradesh,27.0937,77.66003,30026,Asia/Kolkata,fatehpur sīkri uttar pradesh
Azhiyūr,Kerala,11.69348,75.56013,30023,Asia/Kolkata,azhiyūr kerala
Byādgi,Karnataka,14.67325,75.4868,30014,Asia/Kolkata,byādgi karnataka
Birpara,West Bengal,26.70421,89.14547,30000,Asia/Kolkata,birpara west bengal
Multai,Madhya Pradesh,21.77463,78.25756,29976,Asia/Kolkata,multai madhya pradesh
Holenarasipura,Karnataka,12.78635,76.24331,29974,Asia/Kolkata,holenarasipura karnataka
Talāja,Goa,21.3527,72.03524,29948,Asia/Kolkata,talāja goa
Marhaura,Bihar,25.97349,84.86796,29932,Asia/Kolkata,marhaura bihar
Kareli,Madhya Pradesh,22.91533,79.06378,29929,Asia/Kolkata,kareli madhya pradesh
Baddi,Haryana,30.95783,76.79136,29911,Asia/Kolkata,baddi haryana
Bhongaon,Uttar Pradesh,27.25515,79.18118,29911,Asia/Kolkata,bhongaon uttar pradesh
Pānakkudi,Tamil Nadu,8.322,77.57711,29895,Asia/Kolkata,pānakkudi tamil nadu
Pūlakkōd,Kerala,11.30975,75.94995,29872,Asia/Kolkata,pūlakkōd kerala
Gadhada,Goa,21.96957,71.57828,29872,Asia/Kolkata,gadhada goa
Mukeriān,Punjab,31.95394,75.61716,29841,Asia/Kolkata,mukeriān punjab
Ariyānkuppam,Puducherry,11.89532,79.80709,29808,Asia/Kolkata,ariyānkuppam puducherry
Karumālūr,Kerala,10.1329,76.27992,29805,Asia/Kolkata,karumālūr kerala
Kottārakara,Kerala,9.00359,76.77383,29788,Asia/Kolkata,kottārakara kerala
Mavoor,Kerala,11.26667,75.91667,29781,Asia/Kolkata,mavoor kerala
Pilāni,Rajasthan,28.36725,75.60352,29741,Asia/Kolkata,pilāni rajasthan
Devarkonda,Telangana,16.69186,78.92073,29731,Asia/Kolkata,devarkonda telangana
